state_calc,year_group,mean_stigma_ahs,mean_stigma_ahs_se,mean_stigma_gss,mean_stigma_gss_se,mean_stigma_family,mean_stigma_family_se,mean_knowledge_aware,mean_knowledge_aware_se,mean_risk_behavior,mean_risk_behavior_se,mean_talkhiv,mean_talkhiv_se,mean_illicit,mean_illicit_se,mean_homeless_col,mean_homeless_col_se,mean_insur_bin,mean_insur_bin_se,mean_urbrur,mean_urbrur_se,mean_out_gi,mean_out_gi_se,mean_out_gid,mean_out_gid_se,mean_out_gic,mean_out_gic_se,mean_seehcp,mean_seehcp_se,n
AK,2017-2018,0.008493756048658922,0.008734054243285704,0.45659485307574754,0.13594686174221485,0.10246477985499465,0.0502257498883916,0.47475233023913804,0.1388149664543519,0.11947872176245111,0.058908877937258915,0.1564639248726885,0.1048236799902084,0.41030872065620466,0.1359576173463669,0.21339041095355588,0.12090396784618059,0.9454485306136231,0.03929738775442984,0.9225857090198625,0.04854678898285959,0.9594542214647954,0.04039308026664327,0.799836005806974,0.09506716155503567,0.8113155241880637,0.10642192760524136,0.7489287914768445,0.12390390268822897,35
AL,2015-2016,0.33182004186228203,0.1196371610117167,0.6265213926320488,0.12511476701693522,0.4560303195142952,0.12649465917835837,0.43650986043316486,0.061901830855147215,0.20004531682464494,0.042423758673879514,0.17043810178328073,0.03781716249618114,0.26499873903244087,0.04941217630358329,0.08835526517556544,0.055865006791068046,0.7617367896559107,0.04899584521207335,0.9132194646367658,0.02823802083892034,0.9024444854230254,0.031080532401887656,0.6547980816779636,0.05606633474173082,0.8339215099463191,0.038150664247212515,0.9021925845692651,0.03794568921928926,162
AL,2017-2018,0.15907825351335797,0.032001206420595917,0.3912806684895278,0.055859382508765085,0.23919078527086424,0.05337561603624093,0.31083191356080625,0.04552050384017019,0.2694205882686549,0.053934714349942854,0.1984282882654755,0.05621027418937515,0.3008564560987718,0.05249764008648965,0.035320980554764896,0.015869054349763444,0.9096984488973062,0.0279676928977668,0.8347549637239065,0.03562059282707748,0.896618339129872,0.03608119353104074,0.6706513926455828,0.05500410017946327,0.8023791496666041,0.04136419225760058,0.8511020380051274,0.039408466351801424,223
AL,2019-2020,0.2663389593384945,0.06388833265753466,0.38311325981050304,0.06700967042623761,0.1588552106091016,0.03983560701524224,0.3441613346396489,0.06489859846183202,0.3075158368056928,0.06600795328377906,0.14189324000238285,0.044631221812228415,0.31612195871037774,0.06350435963622311,0.0954849260357123,0.038533087401353305,0.7339362438501822,0.05442887991086064,0.7801733382545566,0.062034415252387225,0.8693452669879369,0.05438991599420268,0.5216262357577178,0.07286712573260462,0.7945785867780877,0.05900783825331006,0.9268233852100934,0.03478836000130831,144
AL,2021-2022,0.1695948926940103,0.049638221159266055,0.345277931869049,0.0672768696319503,0.2342503623682135,0.06000590066387255,0.4467219013697966,0.07371976149296057,0.39821496340558504,0.06478542255151809,0.05988786000651083,0.02986928709579753,0.32247380839765455,0.06401803031642249,0.20410542618708483,0.053215290734507495,0.8613774816581329,0.04503355076730711,0.7447195632173891,0.06215640404365375,0.8560749376582366,0.04690049919980849,0.7747828256620453,0.06535171985650619,0.7821891496462927,0.0628391130491094,0.7866792631167389,0.06087859300925282,114
AL,2023-2024,0.27033727591631773,0.1013011012095409,0.33678051704120543,0.09987687783164007,0.3717344965369774,0.1021544363659289,0.4969266500658813,0.09886145050170031,0.37735413452689165,0.08927047097377498,0.2508659758011737,0.11155540248312816,0.42622216754714415,0.0924553787327339,0.133674588006386,0.06879465755740315,0.8033503675835125,0.07963605459774803,0.8105084528003133,0.09550390796534414,0.8313718641597366,0.0859636225589343,0.717043603134643,0.10172532919607133,0.863251544459936,0.06504661516292977,0.8705979787683706,0.06992144920049793,71
AR,2015-2016,0.38867038101321727,0.1792202414451684,0.4486382813508065,0.1528774594944804,0.35027060926009035,0.1392338473485522,0.33873245750755265,0.07036494379308506,0.14279104648260618,0.05247828503202131,0.04926141803767653,0.027869397573890058,0.39130268556282094,0.07302691536062665,0,0,0.9026655670038388,0.038039078563693075,0.5546737385590979,0.0746745686742975,0.9012266337149631,0.04317222920832279,0.5587324077035929,0.07834346981533832,0.7559014287113041,0.0717670087006534,0.8730299607345586,0.045388440373270084,91
AR,2017-2018,0.08146905563625072,0.027472588138566113,0.48346148102246295,0.07458470964456912,0.34130387233613946,0.07608211470321295,0.38720092974355197,0.07713975725945384,0.30009656609087076,0.0644417517482471,0.05154515051317478,0.020926697223472648,0.2932227746198815,0.056477455761313015,0.09898438089380743,0.03927313846215473,0.9039794974526218,0.03538660403035188,0.7683073039134061,0.06822692312660612,0.9436635328336114,0.02623369690803154,0.5907067096060228,0.09413255265984269,0.692772729544827,0.08897511026310129,0.8652538947766345,0.04857564256609776,133
AR,2019-2020,0.18091534633765427,0.0641171231218458,0.385567444718346,0.07852940637052518,0.40822951377342664,0.07944018546323635,0.3758144613375278,0.0750511510427351,0.1705024063643487,0.05931273917269345,0.10982498966707231,0.05295203310620426,0.39020335847345533,0.08329043186788879,0.08196232350230012,0.03425374117060491,0.679843698766818,0.06842437918859282,0.6331340301029388,0.08470410725571448,0.9303969654527358,0.03870008769029118,0.5577813060700333,0.08615164904451018,0.7937821926310782,0.0681082935599039,0.8606389568156351,0.05002707287953554,85
AR,2021-2022,0.10857205137644088,0.05110661737673122,0.43615033065101916,0.10424440576309058,0.21444497489026804,0.07155663959337005,0.5614104439576945,0.099309746918773,0.31494038840645133,0.09316660306245586,0.08539835478660192,0.05600248869365901,0.21714156981342128,0.07421089412704339,0.17931286340110336,0.08493688735614384,0.9676568219508903,0.018357594473982948,0.6926423637081147,0.09448964349692693,0.9667674448536051,0.018093572547423137,0.7034053169840115,0.09068516966173262,0.8492619468409746,0.06002262238650386,0.8944883256673248,0.058600358063433805,79
