"state_calc","year","variable","value"
"AK",2018,"stigma_ahs",0.00849375604865892
"AK",2018,"stigma_gss",0.456594853075748
"AK",2018,"stigma_family",0.102464779854995
"AK",2018,"knowledge_aware",0.474752330239138
"AK",2018,"risk_behavior",0.119478721762451
"AK",2018,"talkhiv",0.156463924872689
"AK",2018,"illicit",0.410308720656205
"AK",2018,"homeless_col",0.213390410953556
"AK",2018,"insur_bin",0.945448530613623
"AK",2018,"urbrur",0.922585709019862
"AK",2018,"out_gi",0.959454221464795
"AK",2018,"out_gid",0.799836005806974
"AK",2018,"out_gic",0.811315524188064
"AK",2018,"seehcp",0.748928791476845
"AL",2016,"stigma_ahs",0.331820041862282
"AL",2016,"stigma_gss",0.626521392632049
"AL",2016,"stigma_family",0.456030319514295
"AL",2016,"knowledge_aware",0.436509860433165
"AL",2016,"risk_behavior",0.200045316824645
"AL",2016,"talkhiv",0.170438101783281
"AL",2016,"illicit",0.264998739032441
"AL",2016,"homeless_col",0.0883552651755654
"AL",2016,"insur_bin",0.761736789655911
"AL",2016,"urbrur",0.913219464636766
"AL",2016,"out_gi",0.902444485423025
"AL",2016,"out_gid",0.654798081677964
"AL",2016,"out_gic",0.833921509946319
"AL",2016,"seehcp",0.902192584569265
"AL",2018,"stigma_ahs",0.159078253513358
"AL",2018,"stigma_gss",0.391280668489528
"AL",2018,"stigma_family",0.239190785270864
"AL",2018,"knowledge_aware",0.310831913560806
"AL",2018,"risk_behavior",0.269420588268655
"AL",2018,"talkhiv",0.198428288265476
"AL",2018,"illicit",0.300856456098772
"AL",2018,"homeless_col",0.0353209805547649
"AL",2018,"insur_bin",0.909698448897306
"AL",2018,"urbrur",0.834754963723906
"AL",2018,"out_gi",0.896618339129872
"AL",2018,"out_gid",0.670651392645583
"AL",2018,"out_gic",0.802379149666604
"AL",2018,"seehcp",0.851102038005127
"AL",2020,"stigma_ahs",0.266338959338494
"AL",2020,"stigma_gss",0.383113259810503
"AL",2020,"stigma_family",0.158855210609102
"AL",2020,"knowledge_aware",0.344161334639649
"AL",2020,"risk_behavior",0.307515836805693
"AL",2020,"talkhiv",0.141893240002383
"AL",2020,"illicit",0.316121958710378
"AL",2020,"homeless_col",0.0954849260357123
"AL",2020,"insur_bin",0.733936243850182
"AL",2020,"urbrur",0.780173338254557
"AL",2020,"out_gi",0.869345266987937
